RL_TAG,Product Description,1 Wk Avg,09/19/2025,8/22/2025,7/18/2025,06/20/2025,05/23/2025,05/09/2025,$ Diff,% Diff,,,04/25/2025
LCEV,2X4 STD&BTR HEM/FIR KD,470,470,530,510,495,495,515,60,12.77%,,,570
LAAB,2X6 2&BTR HEM/FIR KD,365,365,395,430,455,460,470,30,8.22%,,,535
LAAC,2X8 2&BTR HEM/FIR KD,415,415,410,395,395,405,420,-5,-1.20%,,,430
LAAD,2X10 2&BTR HEM/FIR KD,375,375,385,390,410,420,445,10,2.67%,,,510
LAAE,2X12 2&BTR HEM/FIR KD,380,380,410,410,390,395,400,30,7.89%,,,450
LCEO,2X4 STD&BTR DOUG/FIR KD,515,515,560,548,527,520,540,45,8.74%,,,575
LADB,2X6 2&BTR DOUG/FIR KD,445,445,480,480,490,485,505,35,7.87%,,,545
LADC,2X8 2&BTR DOUG/FIR KD,520,520,515,490,470,465,490,-5,-0.96%,,,510
LADD,2X10 2&BTR DOUG/FIR KD,520,520,610,640,655,670,700,90,17.31%,,,725
LADE,2X12 2&BTR DOUG/FIR KD,510,510,545,550,560,620,640,35,6.86%,,,700
LAAK,"2X4 92-5/8"" STUD HEM/FIR KD",310,310,375,415,402,385,390,65,20.97%,,,410
LBYT,"2X4 104-5/8"" STUD HEM/FIR KD",390,390,470,480,467,450,455,80,20.51%,,,485
LBZC,"2X4 116-5/8"" STUD HEM/FIR KD",370,370,440,465,470,465,470,70,18.92%,,,495
LBYU,"2X6 92-5/8"" STUD HEM/FIR KD",300,300,365,420,420,425,430,65,21.67%,,,450
LBYV,"2X6 104-5/8"" STUD HEM/FIR KD",395,395,455,480,475,470,475,60,15.19%,,,530
PABX,"7/16"" 4X8 OSB",242,242,252,267,267,292,307,10,4.13%,,,337
PABX,"7/16"" 4X9 OSB (4x8 + $10)",242,242,252,267,267,292,307,10,4.13%,,,337
PABX,"7/16"" 4X10 OSB (4x9 + $10)",242,242,252,267,267,292,307,10,4.13%,,,337
PAER,3/4 4X8 OSB T&G EdgeGold,435,435,445,485,485,520,535,10,2.30%,,,565
PAER,7/8 4X8 OSB T&G EdgeGold,435,435,445,485,485,520,535,10,2.30%,,,565
PAER,1-1/8 4X8 OSB T&G EdgeGold,435,435,445,485,485,520,535,10,2.30%,,,565
LCQS,"2X6 116-5/8"" STUD HEM/FIR KD",370,370,420,460,470,465,470,50,13.51%,,,530
LADK,"2X4 92-5/8"" STUD DOUG/FIR KD",330,330,400,425,420,400,405,70,21.21%,,,425
LBYW,"2X4 104-5/8"" STUD DOUG/FIR KD",400,400,465,490,475,450,455,65,16.25%,,,490
LCQH,"2X4 116-5/8"" STUD DOUG/FIR KD",375,375,430,470,465,450,460,55,14.67%,,,490
LBYX,"2X6 92-5/8"" STUD DOUG/FIR KD",300,300,400,440,435,425,435,100,33.33%,,,460
LBYY,"2X6 104-5/8"" STUD DOUG/FIR KD",400,400,465,490,480,465,470,65,16.25%,,,520
LCQT,"2X6 116-5/8"""" STUD DOUG/FIR KD",385,385,450,485,480,465,470,65,16.88%,,,525
LCEV,24HF2TICGC,470,470,530,510,495,495,515,60,12.77%,,,570
LAAB,26HF2TICGC,365,365,395,430,455,460,470,30,8.22%,,,535
LAAC,28HF2TICGC,415,415,410,395,395,405,420,-5,-1.20%,,,430
LAAD,210HF2TICGC,375,375,385,390,410,420,445,10,2.67%,,,510
LAAE,212HF2TICGC,380,380,410,410,390,395,400,30,7.89%,,,450
LAAF,24HF3TICAG,310,310,310,320,335,345,350,0,0.00%,,,360
LAAG,26HF3TICAG,195,195,205,210,225,240,245,10,5.13%,,,255
LCLQ,44GDF,550,550,595,565,535,555,590,45,8.18%,,,625
LBMR,46DGF2,480,480,540,515,465,490,530,60,12.50%,,,580
LBMS,48GDF2,635,635,635,635,630,655,660,0,0.00%,,,670
LBMT,410GDF2,635,635,635,635,630,655,660,0,0.00%,,,670
LBMU,412GDF2,575,575,605,660,700,730,735,30,5.22%,,,740
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
