Plan_Code,Unified_Plan,Plan_Name,Elevations,Communities
1649,1649,Plan 1649,"A,B,C","GG,HA"
1670,1670,Plan 1670,"A,B,C,D","CR,WR,HA"
168i,1680,Plan 1680 Interior,A,WRA
169e,1690,Plan 1690 Exterior,A,WRA
172e,1720,Plan 1720 Exterior,A,WRA
177i,1770,Plan 1770 Interior,A,WRA
178e,1780,Plan 1780 Exterior,A,WRA
1890,1890,Plan 1890,"A,B,D","CR,WR,GG,HA"
2184,2184,Plan 2184,"A,C,D","GG,WR"
2299,2299,Plan 2299,"A,C,D","GG,WR"
2321,2321,Plan 2321,"A,B,C",CR
2336,2336,Plan 2336,"B,C,D","HA,WR,GG"
2383,2383,Plan 2383,"A,C,D",CR
2414,2414,Plan 2414,"A,C,D","CR,HA"
2676,2676,Plan 2676,"A,C","CR,HA"
